date,intercn,costratio,fit,lwr,upr,fit.transformed,lwr.transformed,upr.transformed
1/27/2006,EAST,0.256381348,5084667.224,5039605.96,5129728.487,0.011645235,0.002679848,0.020610623
1/27/2006,ERCOT,0.236017669,584253.1758,577661.016,590845.3356,0.005363895,-0.00597968,0.016707469
1/27/2006,WECC,0.227507956,877834.1026,869449.9747,886218.2306,0.004521913,-0.0050722,0.014116027
1/28/2006,EAST,0.256381348,5084667.224,5039605.96,5129728.487,0.011645235,0.002679848,0.020610623
1/28/2006,ERCOT,0.236017669,584253.1758,577661.016,590845.3356,0.005363895,-0.00597968,0.016707469
1/28/2006,WECC,0.227507956,877834.1026,869449.9747,886218.2306,0.004521913,-0.0050722,0.014116027
1/29/2006,EAST,0.256381348,5084667.224,5039605.96,5129728.487,0.011645235,0.002679848,0.020610623
1/29/2006,ERCOT,0.236017669,584253.1758,577661.016,590845.3356,0.005363895,-0.00597968,0.016707469
1/29/2006,WECC,0.227507956,877834.1026,869449.9747,886218.2306,0.004521913,-0.0050722,0.014116027
1/30/2006,EAST,0.251824958,5086984.36,5040854.847,5133113.873,0.012106253,0.002928326,0.021284179
1/30/2006,ERCOT,0.225787077,585942.4933,578728.4285,593156.5581,0.008270817,-0.004142911,0.020684546
1/30/2006,WECC,0.221728227,878530.4379,870560.4327,886500.4431,0.005318743,-0.003801483,0.014438968
1/31/2006,EAST,0.239775942,5093272.488,5036912.05,5149632.925,0.013357338,0.002143868,0.024570809
1/31/2006,ERCOT,0.214658868,588000.1684,579390.9737,596609.3631,0.011811598,-0.003002825,0.026626021
1/31/2006,WECC,0.212030294,879833.0935,872274.5558,887391.6313,0.006809396,-0.00183998,0.015458771
2/1/2006,EAST,0.242815156,5091665.438,5038884.717,5144446.158,0.0130376,0.002536349,0.02353885
2/1/2006,ERCOT,0.214207097,588087.9727,579407.1041,596768.8413,0.011962689,-0.002975068,0.026900446
2/1/2006,WECC,0.207751217,880456.7393,872840.5139,888072.9646,0.007523045,-0.001192343,0.016238434
2/2/2006,EAST,0.263379796,5081178.445,5035255.446,5127101.445,0.010951108,0.001814269,0.020087947
2/2/2006,ERCOT,0.231525088,584968.9378,578179.6493,591758.2264,0.006595555,-0.005087232,0.018278342
2/2/2006,WECC,0.232686875,877265.5092,868507.8851,886023.1332,0.003871261,-0.006150251,0.013892774
2/3/2006,EAST,0.261509868,5082102.027,5036656.33,5127547.724,0.011134864,0.002092989,0.020176738
2/3/2006,ERCOT,0.226426709,585830.8282,578674.1451,592987.5113,0.008078668,-0.00423632,0.020393656
2/3/2006,WECC,0.234311888,877098.4266,868232.1663,885964.6869,0.003680066,-0.006465761,0.013825892
2/4/2006,EAST,0.261509868,5082102.027,5036656.33,5127547.724,0.011134864,0.002092989,0.020176738
2/4/2006,ERCOT,0.226426709,585830.8282,578674.1451,592987.5113,0.008078668,-0.00423632,0.020393656
2/4/2006,WECC,0.234311888,877098.4266,868232.1663,885964.6869,0.003680066,-0.006465761,0.013825892
2/5/2006,EAST,0.261509868,5082102.027,5036656.33,5127547.724,0.011134864,0.002092989,0.020176738
2/5/2006,ERCOT,0.226426709,585830.8282,578674.1451,592987.5113,0.008078668,-0.00423632,0.020393656
2/5/2006,WECC,0.234311888,877098.4266,868232.1663,885964.6869,0.003680066,-0.006465761,0.013825892
2/6/2006,EAST,0.251520604,5087140.374,5040886.211,5133394.538,0.012137293,0.002934566,0.02134002
