date,intercn,so2mass,co2mass,noxmass,gload,gasprice,coalprice,national_coalprice,tlsd,tlmin,tlmax,load,coal,ng,nuc,other,renew,wat,allrenew,nonfossil,meant,hdd,cdd,imports,exports,netNSflow,so2price
1/29/2006,ERCOT,2570228.339,465280.544,562344.504,513073,7.064652,1.6673827,2.0091271,2058.4612,23643.98,30544.73,646317.13,10238570,9091499,3674767,198161,558953,45251,604204,4278971,57.149914,8.1112461,0.26115936,0,0,0,1513.86
1/29/2006,WECC,1658552.704,806910.065,2411258.992,894052,7.1642299,1.6299193,2.0091271,6382.3677,60525.879,82126.789,1671321.3,18186152,12826778,5448453,355870,2837854,18629544,21467398,26915852,44.729763,20.270237,0,1407150,236886.1421,-1170263.9,1513.86
1/30/2006,EAST,45297022.94,4969410.604,18591317.74,5130442,8.1798334,2.0598862,2.0091271,35356.23,236450.31,342908.97,7181406,135836471,22668061,62788312,12191547,4328905,8122592,12451497,75239808,46.954304,18.293455,0.24775733,885915.1055,3504038.273,2618123.3,1513.86
1/30/2006,ERCOT,2490398.885,491949.247,596665.399,558082,7.384757,1.6673827,2.0091271,3368.1289,22693.039,32535.189,693739.69,10238570,9091499,3674767,198161,558953,45251,604204,4278971,58.653217,6.8779192,0.5311361,0,0,0,1513.86
1/30/2006,WECC,1686512.655,853281.072,2486576.631,971191,7.3509779,1.6299193,2.0091271,8878.8711,59641.82,87719.547,1811319,18186152,12826778,5448453,355870,2837854,18629544,21467398,26915852,46.415901,18.584099,0,1407150,236886.1421,-1170263.9,1513.86
1/31/2006,EAST,47842394.73,5196668.712,19647519.2,5378026,8.5908794,2.0598862,2.0091271,32644.834,253674.58,351827.06,7488683,135836471,22668061,62788312,12191547,4328905,8122592,12451497,75239808,42.363411,22.784639,0.14804988,885915.1055,3504038.273,2618123.3,1513.86
1/31/2006,ERCOT,2437843.876,484417.432,588590.799,553927,7.7675929,1.6673827,2.0091271,2953.6816,24953.189,35111.859,709530.88,10238570,9091499,3674767,198161,558953,45251,604204,4278971,54.363075,10.699656,0.062730968,0,0,0,1513.86
1/31/2006,WECC,1721476.015,861095.358,2588938.293,969138,7.6872001,1.6299193,2.0091271,8535.2939,61013.957,88272.789,1826694.3,18186152,12826778,5448453,355870,2837854,18629544,21467398,26915852,46.40723,18.592768,0,1407150,236886.1421,-1170263.9,1513.86
2/1/2006,EAST,48809367.14,5281532.958,19906512.6,5481664,8.5373983,2.0730097,2.0182807,25989.475,268598.03,349315.16,7480861.5,129282364,25673674,54432776,10752433,3833008,7208424,11041432,65474208,40.521378,24.486629,0.008007963,456000.8032,3074033.139,2618032.3,1136.45
2/1/2006,ERCOT,2453312.182,468111.756,545212.12,538709,7.7168951,1.6530137,2.0182807,3070.1917,22994.23,32124.07,680466,8792110,10030709,3322308,161819,445360,41312,486672,3808980,58.749523,6.5277653,0.27728885,0,0,0,1136.45
2/1/2006,WECC,1714753.826,863509.61,2638386.365,960301,7.68856,1.5973077,2.0182807,7947.4961,61389.242,86967.844,1810264.1,15723413,12488161,4860570,317809,2456957,16971711,19428668,24289238,47.182701,17.817348,5.06E-05,1140869,186836.9133,-954032.06,1136.45
2/2/2006,EAST,48964065.49,5195331.594,19485830.5,5364174,7.8708,2.0730097,2.0182807,27276.004,257354.09,338898.25,7320618.5,129282364,25673674,54432776,10752433,3833008,7208424,11041432,65474208,43.134007,21.948088,0.08209452,456000.8032,3074033.139,2618032.3,1136.45
