date,intercn,co2mass,gasprice,coalprice
3/2/2006,ERCOT,495123.897,5.9329958,1.6899333
3/2/2006,WECC,837793.053,5.6108561,1.5720334
3/3/2006,EAST,5267474.331,6.6022959,2.0909662
3/3/2006,ERCOT,482024.561,5.8330579,1.6899333
3/3/2006,WECC,819543.995,5.6186838,1.5720334
3/4/2006,EAST,5011976.317,6.6022959,2.0909662
3/4/2006,ERCOT,423525.349,5.8330579,1.6899333
3/4/2006,WECC,774432.436,5.6186838,1.5720334
3/5/2006,EAST,4805322.386,6.6022959,2.0909662
3/5/2006,ERCOT,441427.696,5.8330579,1.6899333
3/5/2006,WECC,816971.331,5.6186838,1.5720334
3/6/2006,EAST,5171221.467,6.476491,2.0909662
3/6/2006,ERCOT,490326.7,5.8151498,1.6899333
3/6/2006,WECC,862927.91,5.763824,1.5720334
3/7/2006,EAST,5219786.29,6.490757,2.0909662
3/7/2006,ERCOT,482366.113,6.016221,1.6899333
3/7/2006,WECC,857682.099,5.868021,1.5720334
3/8/2006,EAST,5214721.497,6.3843498,2.0909662
3/8/2006,ERCOT,472336.102,6.0280561,1.6899333
3/8/2006,WECC,859221.784,5.867703,1.5720334
3/9/2006,EAST,4985686.625,6.2358398,2.0909662
3/9/2006,ERCOT,435217.214,5.9255962,1.6899333
3/9/2006,WECC,847926.692,5.8127899,1.5720334
3/10/2006,EAST,4836299.805,6.2989359,2.0909662
3/10/2006,ERCOT,459572.074,5.9563379,1.6899333
3/10/2006,WECC,839081.556,5.8700109,1.5720334
3/11/2006,EAST,4486706.087,6.2989359,2.0909662
3/11/2006,ERCOT,467779.833,5.9563379,1.6899333
3/11/2006,WECC,843074.655,5.8700109,1.5720334
3/12/2006,EAST,4358201.948,6.2989359,2.0909662
3/12/2006,ERCOT,470869.567,5.9563379,1.6899333
3/12/2006,WECC,853902.677,5.8700109,1.5720334
3/13/2006,EAST,4869409.679,6.7621608,2.0909662
3/13/2006,ERCOT,463998.463,6.304503,1.6899333
3/13/2006,WECC,901378.721,6.0310578,1.5720334
3/14/2006,EAST,4987923.404,7.1455808,2.0909662
3/14/2006,ERCOT,458894.885,6.693336,1.6899333
3/14/2006,WECC,886689.119,6.224987,1.5720334
3/15/2006,EAST,5058446.565,7.0788002,2.0909662
3/15/2006,ERCOT,446735.604,6.556602,1.6899333
3/15/2006,WECC,873978.3,6.2327199,1.5720334
3/16/2006,EAST,5078512.371,7.137692,2.0909662
3/16/2006,ERCOT,474489.229,6.5640311,1.6899333
3/16/2006,WECC,858449.011,6.3448491,1.5720334
3/17/2006,EAST,5037590.686,7.1190538,2.0909662
3/17/2006,ERCOT,461080.254,6.5418272,1.6899333
3/17/2006,WECC,842182.309,6.351367,1.5720334
3/18/2006,EAST,4775401.344,7.1190538,2.0909662
3/18/2006,ERCOT,456664.921,6.5418272,1.6899333
3/18/2006,WECC,785870.923,6.351367,1.5720334
3/19/2006,EAST,4702779.593,7.1190538,2.0909662
3/19/2006,ERCOT,458455.067,6.5418272,1.6899333
3/19/2006,WECC,805473.938,6.351367,1.5720334
3/20/2006,EAST,5270727.481,7.054873,2.0909662
3/20/2006,ERCOT,460216.506,6.4548411,1.6899333
3/20/2006,WECC,851049.323,6.2812719,1.5720334
3/21/2006,EAST,5386069.118,6.9310131,2.0909662
3/21/2006,ERCOT,465132.532,6.3533468,1.6899333
3/21/2006,WECC,863717.566,6.0969281,1.5720334
3/22/2006,EAST,5328357.282,7.0722818,2.0909662
3/22/2006,ERCOT,476572.803,6.6111169,1.6899333
