date,month,year,intercn,co2mass,gasprice,load
3/16/2006,3,2006,ERCOT,474489.229,6.5640311,710039
3/16/2006,3,2006,WECC,858449.011,6.3448491,1755782.1
3/17/2006,3,2006,EAST,5037590.686,7.1190538,6989144.5
3/17/2006,3,2006,ERCOT,461080.254,6.5418272,690530.31
3/17/2006,3,2006,WECC,842182.309,6.351367,1732123.9
3/18/2006,3,2006,EAST,4775401.344,7.1190538,6654764.5
3/18/2006,3,2006,ERCOT,456664.921,6.5418272,667777.63
3/18/2006,3,2006,WECC,785870.923,6.351367,1622039.6
3/19/2006,3,2006,EAST,4702779.593,7.1190538,6551737.5
3/19/2006,3,2006,ERCOT,458455.067,6.5418272,686338.63
3/19/2006,3,2006,WECC,805473.938,6.351367,1608221.6
3/20/2006,3,2006,EAST,5270727.481,7.054873,7401027
3/20/2006,3,2006,ERCOT,460216.506,6.4548411,717342.56
3/20/2006,3,2006,WECC,851049.323,6.2812719,1766443
3/21/2006,3,2006,EAST,5386069.118,6.9310131,7594368.5
3/21/2006,3,2006,ERCOT,465132.532,6.3533468,702225.69
3/21/2006,3,2006,WECC,863717.566,6.0969281,1757735.4
3/22/2006,3,2006,EAST,5328357.282,7.0722818,7501243
3/22/2006,3,2006,ERCOT,476572.803,6.6111169,727587.13
3/22/2006,3,2006,WECC,862799.304,6.0947518,1741027.9
3/23/2006,3,2006,EAST,5287585.133,7.0610399,7376986
3/23/2006,3,2006,ERCOT,500395.629,6.6698918,779853.63
3/23/2006,3,2006,WECC,871049.065,6.093482,1714976.5
3/24/2006,3,2006,EAST,5187362.71,7.2656751,7215378
3/24/2006,3,2006,ERCOT,502457.651,6.8481312,756618
3/24/2006,3,2006,WECC,845000.982,6.3616371,1686524
3/25/2006,3,2006,EAST,4878386.003,7.2656751,6727676
3/25/2006,3,2006,ERCOT,450387.463,6.8481312,674154.63
3/25/2006,3,2006,WECC,792640.406,6.3616371,1574209.8
3/26/2006,3,2006,EAST,4703303.706,7.2656751,6505643.5
3/26/2006,3,2006,ERCOT,422828.724,6.8481312,629354.19
3/26/2006,3,2006,WECC,790569.701,6.3616371,1547682.8
3/27/2006,3,2006,EAST,5067784.367,6.86518,7085470.5
3/27/2006,3,2006,ERCOT,455549.551,6.4283109,677583.38
3/27/2006,3,2006,WECC,834846.353,5.9946222,1701759.3
3/28/2006,3,2006,EAST,4998658.278,6.9572792,6933454.5
3/28/2006,3,2006,ERCOT,460183.614,6.600328,668761.69
3/28/2006,3,2006,WECC,834957.528,5.988183,1711552.1
3/29/2006,3,2006,EAST,4879184.472,6.9152842,6809752
3/29/2006,3,2006,ERCOT,453458.165,6.6339612,683121.06
3/29/2006,3,2006,WECC,817323.72,6.0778689,1700669.5
3/30/2006,3,2006,EAST,4834232.446,6.9202442,6785367.5
3/30/2006,3,2006,ERCOT,477618.035,6.626102,718252.69
3/30/2006,3,2006,WECC,833925.259,6.2304611,1695660.8
3/31/2006,3,2006,EAST,4753817.813,6.883471,6664354
3/31/2006,3,2006,ERCOT,501520.368,6.5198569,765093.25
3/31/2006,3,2006,WECC,830624.786,6.0146799,1681545
4/1/2006,4,2006,EAST,4426136.62,6.883471,6322878
4/1/2006,4,2006,ERCOT,465327.48,6.5198569,745568.94
4/1/2006,4,2006,WECC,747410.139,6.0146799,1506896.1
4/2/2006,4,2006,EAST,4315213.274,6.883471,6155618.5
4/2/2006,4,2006,ERCOT,481844.205,6.5198569,736863.63
4/2/2006,4,2006,WECC,765502.538,6.0146799,1462925.6
4/3/2006,4,2006,EAST,4825907.063,7.218883,6987406.5
4/3/2006,4,2006,ERCOT,487606.241,6.6782079,790205.94
4/3/2006,4,2006,WECC,821907.353,6.0499911,1625695
4/4/2006,4,2006,EAST,4850158.314,7.307405,7006486
4/4/2006,4,2006,ERCOT,473501.089,6.7484221,773034.69
4/4/2006,4,2006,WECC,826332.32,6.1726151,1637995.3
4/5/2006,4,2006,EAST,4861103.065,7.0463648,7045586.5
4/5/2006,4,2006,ERCOT,472617.708,6.6738029,798164.06
4/5/2006,4,2006,WECC,805350.863,6.2680159,1620937.9
4/6/2006,4,2006,EAST,4794212.543,7.1439228,7018934.5
4/6/2006,4,2006,ERCOT,470596.549,6.793664,792024.44
4/6/2006,4,2006,WECC,783758.334,6.359868,1614598.3
4/7/2006,4,2006,EAST,4773451.723,6.8233662,6966436.5
4/7/2006,4,2006,ERCOT,477097.513,6.4581699,801753.38
4/7/2006,4,2006,WECC,749609.289,5.9598432,1605320
4/8/2006,4,2006,EAST,4451058.048,6.8233662,6472693.5
4/8/2006,4,2006,ERCOT,415481.406,6.4581699,647417.81
4/8/2006,4,2006,WECC,665221.601,5.9598432,1495851.3
4/9/2006,4,2006,EAST,4309002.994,6.8233662,6251695.5
4/9/2006,4,2006,ERCOT,417011.495,6.4581699,654715.69
4/9/2006,4,2006,WECC,657932.992,5.9598432,1460393
4/10/2006,4,2006,EAST,4731274.178,6.7896709,6892595
4/10/2006,4,2006,ERCOT,451619.781,6.4652309,731326.69
4/10/2006,4,2006,WECC,721934.719,5.8884492,1604256
4/11/2006,4,2006,EAST,4722089.317,6.8403258,6871481
4/11/2006,4,2006,ERCOT,462960.005,6.5420542,752090
4/11/2006,4,2006,WECC,735981.352,6.0759292,1613698.4
4/12/2006,4,2006,EAST,4759189.34,6.5751662,6898243.5
4/12/2006,4,2006,ERCOT,502384.767,6.3197408,791782.31
4/12/2006,4,2006,WECC,732684.253,5.8902779,1631231.3
4/13/2006,4,2006,EAST,4784307.091,6.3657918,6993984
4/13/2006,4,2006,ERCOT,518870.202,6.0870981,819079.31
4/13/2006,4,2006,WECC,742853.904,5.578207,1645865.4
4/14/2006,4,2006,EAST,4647375.738,6.3657918,6761979.5
4/14/2006,4,2006,ERCOT,484730.063,6.0870981,786666.13
4/14/2006,4,2006,WECC,705002.285,5.578207,1582888.4
4/15/2006,4,2006,EAST,4397128.52,6.3657918,6455989
4/15/2006,4,2006,ERCOT,490027.59,6.0870981,788153.5
4/15/2006,4,2006,WECC,639222.611,5.578207,1491267.6
4/16/2006,4,2006,EAST,4223819.444,6.3657918,6157836
4/16/2006,4,2006,ERCOT,520637.138,6.0870981,817299.88
4/16/2006,4,2006,WECC,596940.628,5.578207,1441473.1
4/17/2006,4,2006,EAST,4850455.928,7.0327229,7087230
4/17/2006,4,2006,ERCOT,605599.099,6.701756,956653.88
4/17/2006,4,2006,WECC,682225.349,5.986701,1619323
4/18/2006,4,2006,EAST,4957550.379,7.393055,7224042
4/18/2006,4,2006,ERCOT,618965.627,7.093049,959659.31
4/18/2006,4,2006,WECC,688436.531,6.300889,1630310
4/19/2006,4,2006,EAST,4934098.194,7.5686808,7184795.5
4/19/2006,4,2006,ERCOT,562195.463,7.27526,885133.06
4/19/2006,4,2006,WECC,690040.271,6.5676908,1637593.4
4/20/2006,4,2006,EAST,4932098.39,7.8844609,7192070.5
4/20/2006,4,2006,ERCOT,515101.574,7.5526209,807958.38
4/20/2006,4,2006,WECC,681411.111,6.922379,1646010.9
4/21/2006,4,2006,EAST,4869248.413,7.4736681,7033389
4/21/2006,4,2006,ERCOT,510881.792,7.1989832,795913.31
4/21/2006,4,2006,WECC,683565.544,6.3701048,1636758.6
4/22/2006,4,2006,EAST,4503740.838,7.4736681,6533995
4/22/2006,4,2006,ERCOT,468482.881,7.1989832,786757.19
4/22/2006,4,2006,WECC,633748.459,6.3701048,1528685
4/23/2006,4,2006,EAST,4417799.873,7.4736681,6374354.5
4/23/2006,4,2006,ERCOT,483551.884,7.1989832,792154.38
4/23/2006,4,2006,WECC,599543.881,6.3701048,1475605.3
4/24/2006,4,2006,EAST,4942807.875,7.6013842,7209590
4/24/2006,4,2006,ERCOT,534825.723,7.201118,876390.38
4/24/2006,4,2006,WECC,675533.934,6.4190159,1614449.3
4/25/2006,4,2006,EAST,4964663.733,7.3127408,7238857
4/25/2006,4,2006,ERCOT,509679.383,7.0119419,822562.81
