"date","intercn","co2mass","gasprice","coalprice","costratio","load","tlsd","tlmin","tlmax","meant","nonfossil","so2price","netNSflow","yearseason","fit","lwr","upr","fit.transformed","lwr.transformed","upr.transformed"
"7/1/2012","EAST",6096172.58,2.8563509,2.5885079,0.906228958,7456083.96597575,37871.5511271021,249989.241482206,357810.864294095,56.5231245334376,70427030.3965585,236.056559888271,2871794.22045366,20091.516229957,4542312.84892228,4471059.42111202,4613566.27673255,-0.0962615744813459,-0.110438154299562,-0.0820849946631297
"7/2/2012","EAST",6309696.556,2.8016779,2.5885079,0.923913452,7456083.96597575,37871.5511271021,249989.241482206,357810.864294095,56.5231245334376,70427030.3965585,236.056559888271,2871794.22045366,20091.516229957,4529910.31557547,4457765.12483792,4602055.50631301,-0.0987291821367619,-0.113083187079719,-0.0843751771938047
"7/3/2012","EAST",6354678.546,2.8711939,2.5885079,0.901544093,7456083.96597575,37871.5511271021,249989.241482206,357810.864294095,56.5231245334376,70427030.3965585,236.056559888271,2871794.22045366,20091.516229957,4545735.08156045,4474803.77879886,4616666.38432204,-0.0955806871803075,-0.10969317700869,-0.0814681973519252
"7/4/2012","EAST",6118054.826,2.8711939,2.5885079,0.901544093,7456083.96597575,37871.5511271021,249989.241482206,357810.864294095,56.5231245334376,70427030.3965585,236.056559888271,2871794.22045366,20091.516229957,4545735.08156045,4474803.77879886,4616666.38432204,-0.0955806871803075,-0.10969317700869,-0.0814681973519252
"7/5/2012","EAST",6657272.874,3.019618,2.5885079,0.857230252,7456083.96597575,37871.5511271021,249989.241482206,357810.864294095,56.5231245334376,70427030.3965585,236.056559888271,2871794.22045366,20091.516229957,4581055.45463206,4514932.47925069,4647178.43001343,-0.0885533468340691,-0.10170917199392,-0.0753975216742178
"7/6/2012","EAST",6746979.469,3.021214,2.5885079,0.856777408,7456083.96597575,37871.5511271021,249989.241482206,357810.864294095,56.5231245334376,70427030.3965585,236.056559888271,2871794.22045366,20091.516229957,4581444.75622123,4515386.50760829,4647503.00483418,-0.0884758914017914,-0.101618838525776,-0.0753329442778063
"7/7/2012","EAST",6526013.825,3.021214,2.5885079,0.856777408,7456083.96597575,37871.5511271021,249989.241482206,357810.864294095,56.5231245334376,70427030.3965585,236.056559888271,2871794.22045366,20091.516229957,4581444.75622123,4515386.50760829,4647503.00483418,-0.0884758914017914,-0.101618838525776,-0.0753329442778063
"7/8/2012","EAST",6088169.213,3.021214,2.5885079,0.856777408,7456083.96597575,37871.5511271021,249989.241482206,357810.864294095,56.5231245334376,70427030.3965585,236.056559888271,2871794.22045366,20091.516229957,4581444.75622123,4515386.50760829,4647503.00483418,-0.0884758914017914,-0.101618838525776,-0.0753329442778063
"7/9/2012","EAST",6169057.626,2.901865,2.5885079,0.892015273,7456083.96597575,37871.5511271021,249989.241482206,357810.864294095,56.5231245334376,70427030.3965585,236.056559888271,2871794.22045366,20091.516229957,4552875.88638143,4482711.66886605,4623040.10389681,-0.0941599528714887,-0.108119823442743,-0.080200082300235
"7/10/2012","EAST",5931427.504,2.9329829,2.5885079,0.88255131,7456083.96597575,37871.5511271021,249989.241482206,357810.864294095,56.5231245334376,70427030.3965585,236.056559888271,2871794.22045366,20091.516229957,4560210.63227393,4490956.11889782,4629465.14565004,-0.0927006320530128,-0.106479507916536,-0.0789217561894898
"7/11/2012","EAST",5809766.262,2.843858,2.5885079,0.910209968,7456083.96597575,37871.5511271021,249989.241482206,357810.864294095,56.5231245334376,70427030.3965585,236.056559888271,2871794.22045366,20091.516229957,4539450.13961835,4467951.42438789,4610948.85484882,-0.0968311390369149,-0.111056521232753,-0.0826057568410764
"7/12/2012","EAST",5877293.107,2.9544621,2.5885079,0.876135084,7456083.96597575,37871.5511271021,249989.241482206,357810.864294095,56.5231245334376,70427030.3965585,236.056559888271,2871794.22045366,20091.516229957,4565322.93786526,4496767.78400907,4633878.09172144,-0.091683487888895,-0.105323219203721,-0.0780437565740695
"7/13/2012","EAST",5904448.16,3.01739,2.5885079,0.85786322,7456083.96597575,37871.5511271021,249989.241482206,357810.864294095,56.5231245334376,70427030.3965585,236.056559888271,2871794.22045366,20091.516229957,4580512.289957,4514299.32515523,4646725.25475878,-0.0886614148612086,-0.101835144313392,-0.0754876854090255
"7/14/2012","EAST",5645968.897,3.01739,2.5885079,0.85786322,7456083.96597575,37871.5511271021,249989.241482206,357810.864294095,56.5231245334376,70427030.3965585,236.056559888271,2871794.22045366,20091.516229957,4580512.289957,4514299.32515523,4646725.25475878,-0.0886614148612086,-0.101835144313392,-0.0754876854090255
"7/15/2012","EAST",5763576.101,3.01739,2.5885079,0.85786322,7456083.96597575,37871.5511271021,249989.241482206,357810.864294095,56.5231245334376,70427030.3965585,236.056559888271,2871794.22045366,20091.516229957,4580512.289957,4514299.32515523,4646725.25475878,-0.0886614148612086,-0.101835144313392,-0.0754876854090255
"7/16/2012","EAST",6556399.584,3.1072049,2.5885079,0.833066368,7456083.96597575,37871.5511271021,249989.241482206,357810.864294095,56.5231245334376,70427030.3965585,236.056559888271,2871794.22045366,20091.516229957,4602662.47501232,4540356.84519458,4664968.10483005,-0.0842544147199508,-0.0966507409231945,-0.0718580885167071
"7/17/2012","EAST",6821654.109,2.935513,2.5885079,0.881790644,7456083.96597575,37871.5511271021,249989.241482206,357810.864294095,56.5231245334376,70427030.3965585,236.056559888271,2871794.22045366,20091.516229957,4560810.78322631,4491635.72308307,4629985.84336956,-0.092581226037879,-0.106344293888621,-0.078818158187137
"7/18/2012","EAST",6836404.132,2.9380801,2.5885079,0.881020194,7456083.96597575,37871.5511271021,249989.241482206,357810.864294095,56.5231245334376,70427030.3965585,236.056559888271,2871794.22045366,20091.516229957,4561420.27510385,4492326.64309253,4630513.90711517,-0.0924599615525616,-0.106206828464666,-0.0787130946404576
"7/19/2012","EAST",6420353.036,3.0247879,2.5885079,0.855765093,7456083.96597575,37871.5511271021,249989.241482206,357810.864294095,56.5231245334376,70427030.3965585,236.056559888271,2871794.22045366,20091.516229957,4582317.15543832,4516404.63664719,4648229.67422944,-0.0883023188802381,-0.10141627160333,-0.0751883661571461
"7/20/2012","EAST",5932160.648,3.073802,2.5885079,0.842119271,7456083.96597575,37871.5511271021,249989.241482206,357810.864294095,56.5231245334376,70427030.3965585,236.056559888271,2871794.22045366,20091.516229957,4594366.77217694,4530550.47851965,4658183.06583423,-0.0859049275023974,-0.0986018153369637,-0.0732080396678312
"7/21/2012","EAST",5473267.976,3.073802,2.5885079,0.842119271,7456083.96597575,37871.5511271021,249989.241482206,357810.864294095,56.5231245334376,70427030.3965585,236.056559888271,2871794.22045366,20091.516229957,4594366.77217694,4530550.47851965,4658183.06583423,-0.0859049275023974,-0.0986018153369637,-0.0732080396678312
