date,intercn,co2mass,gasprice,coalprice,tlsd,tlmin,tlmax,load,nonfossil,meant,netNSflow,so2price
1/29/2006,WECC,806910.065,7.1642299,1.6299193,6382.3677,60525.879,82126.789,1671321.3,26915852,44.729763,-1170263.9,1513.86
1/30/2006,EAST,4969410.604,8.1798334,2.0598862,35356.23,236450.31,342908.97,7181406,75239808,46.954304,2618123.3,1513.86
1/30/2006,ERCOT,491949.247,7.384757,1.6673827,3368.1289,22693.039,32535.189,693739.69,4278971,58.653217,0,1513.86
1/30/2006,WECC,853281.072,7.3509779,1.6299193,8878.8711,59641.82,87719.547,1811319,26915852,46.415901,-1170263.9,1513.86
1/31/2006,EAST,5196668.712,8.5908794,2.0598862,32644.834,253674.58,351827.06,7488683,75239808,42.363411,2618123.3,1513.86
1/31/2006,ERCOT,484417.432,7.7675929,1.6673827,2953.6816,24953.189,35111.859,709530.88,4278971,54.363075,0,1513.86
1/31/2006,WECC,861095.358,7.6872001,1.6299193,8535.2939,61013.957,88272.789,1826694.3,26915852,46.40723,-1170263.9,1513.86
2/1/2006,EAST,5281532.958,8.5373983,2.0730097,25989.475,268598.03,349315.16,7480861.5,65474208,40.521378,2618032.3,1136.45
2/1/2006,ERCOT,468111.756,7.7168951,1.6530137,3070.1917,22994.23,32124.07,680466,3808980,58.749523,0,1136.45
2/1/2006,WECC,863509.61,7.68856,1.5973077,7947.4961,61389.242,86967.844,1810264.1,24289238,47.182701,-954032.06,1136.45
2/2/2006,EAST,5195331.594,7.8708,2.0730097,27276.004,257354.09,338898.25,7320618.5,65474208,43.134007,2618032.3,1136.45
2/2/2006,ERCOT,470902.966,7.1396742,1.6530137,3397.2197,22452.359,32259.301,682903,3808980,61.194561,0,1136.45
2/2/2006,WECC,843378.037,6.8646231,1.5973077,8170.1602,60513.852,86492.805,1800945.5,24289238,48.467033,-954032.06,1136.45
2/3/2006,EAST,4965498.737,7.9270802,2.0730097,28127.465,242120.73,321182.28,7040895,65474208,46.953171,2618032.3,1136.45
2/3/2006,ERCOT,465827.055,7.300436,1.6530137,3249.9011,22231.99,31148.369,680348.69,3808980,59.945396,0,1136.45
2/3/2006,WECC,819797.78,6.8170152,1.5973077,7609.6436,60259.379,83586.633,1776890.9,24289238,49.524887,-954032.06,1136.45
2/4/2006,EAST,4888371.471,7.9270802,2.0730097,27672.082,240524.66,322742.25,6890477,65474208,43.658401,2618032.3,1136.45
2/4/2006,ERCOT,477436.223,7.300436,1.6530137,1833.7229,25280.74,31081.189,671286.75,3808980,52.882298,0,1136.45
2/4/2006,WECC,783439.491,6.8170152,1.5973077,6332.9277,59326.789,80452.391,1670761.5,24289238,49.113853,-954032.06,1136.45
2/5/2006,EAST,5084608.195,7.9270802,2.0730097,21168.604,259977.47,324850.31,7076854,65474208,38.009895,2618032.3,1136.45
2/5/2006,ERCOT,457545.709,7.300436,1.6530137,1515.4365,24543.35,29805.08,660050.06,3808980,54.032669,0,1136.45
2/5/2006,WECC,787078.348,6.8170152,1.5973077,6113.4419,58641.297,78509.227,1634291,24289238,48.524719,-954032.06,1136.45
2/6/2006,EAST,5596277.551,8.2419081,2.0730097,30212.098,272126.69,362766.53,7790020,65474208,35.136288,2618032.3,1136.45
2/6/2006,ERCOT,480082.435,7.5556989,1.6530137,3670.7312,22682.199,34036.102,705703.38,3808980,56.211506,0,1136.45
2/6/2006,WECC,843811.617,7.0922308,1.5973077,8843.5068,59848.324,87807.398,1814229.9,24289238,47.122261,-954032.06,1136.45
2/7/2006,EAST,5600192.067,7.8234591,2.0730097,28006.668,277143.22,361839.66,7805038.5,65474208,34.905582,2618032.3,1136.45
2/7/2006,ERCOT,502461.447,7.1334238,1.6530137,3020.6643,26674.119,37594.922,744233.5,3808980,48.755356,0,1136.45
2/7/2006,WECC,853342.736,6.7706189,1.5973077,8037.0322,61642.867,87329.078,1822223.3,24289238,48.343819,-954032.06,1136.45
2/8/2006,EAST,5711717.044,7.967936,2.0730097,27096.711,285814.16,368113.41,7944944.5,65474208,32.74564,2618032.3,1136.45
2/8/2006,ERCOT,497284.006,7.2707791,1.6530137,2763.6584,26466.301,36411.961,727610.38,3808980,50.744633,0,1136.45
2/8/2006,WECC,866406.766,6.9576621,1.5973077,8197.2119,60935.941,86914.75,1811310.5,24289238,50.64777,-954032.06,1136.45
2/9/2006,EAST,5747408.714,7.678463,2.0730097,27165.74,289896.97,372232.22,8034212.5,65474208,30.699923,2618032.3,1136.45
2/9/2006,ERCOT,491398.929,7.0463362,1.6530137,3133.1711,24859.66,35492.949,718003.44,3808980,53.458931,0,1136.45
2/9/2006,WECC,859330.703,6.8065691,1.5973077,8210.1221,60717.246,86555.43,1806566,24289238,51.265507,-954032.06,1136.45
2/10/2006,EAST,5684192.366,7.780746,2.0730097,23233.338,296212.66,372964.94,7924176,65474208,32.069279,2618032.3,1136.45
2/10/2006,ERCOT,487810.2,7.110538,1.6530137,3703.5955,23374.811,34193.68,723948.88,3808980,53.443371,0,1136.45
2/10/2006,WECC,819809.206,6.7389321,1.5973077,7645.8076,60658.285,84395.211,1793407.4,24289238,48.437832,-954032.06,1136.45
2/11/2006,EAST,5319564.969,7.780746,2.0730097,23426.373,268364.31,341051.13,7396865.5,65474208,33.873272,2618032.3,1136.45
2/11/2006,ERCOT,536678.225,7.110538,1.6530137,2669.4001,28631.869,36317.711,789434.88,3808980,46.360676,0,1136.45
2/11/2006,WECC,773194.792,6.7389321,1.5973077,5413.5708,61351.445,79576.586,1680349.6,24289238,46.918484,-954032.06,1136.45
2/12/2006,EAST,5444019.135,7.780746,2.0730097,25282.945,277665.94,359416.91,7575518.5,65474208,30.299095,2618032.3,1136.45
2/12/2006,ERCOT,533640.259,7.110538,1.6530137,2794.8586,27886.631,37437.699,783272.81,3808980,40.925846,0,1136.45
2/12/2006,WECC,781209.6,6.7389321,1.5973077,5993.8291,59786.438,80612.93,1640166.9,24289238,48.547855,-954032.06,1136.45
2/13/2006,EAST,5937613.825,7.4614468,2.0730097,28288.857,301751.5,389695.31,8338964.5,65474208,28.274626,2618032.3,1136.45
2/13/2006,ERCOT,522310.973,6.8561282,1.6530137,3369.2168,29042.199,40830.262,787685.38,3808980,45.066456,0,1136.45
2/13/2006,WECC,836085.367,6.6417131,1.5973077,8808.9131,59411.273,87183.32,1801712.4,24289238,50.023624,-954032.06,1136.45
2/14/2006,EAST,5660410.967,7.0712848,2.0730097,24495.482,299607.44,384660.81,7928644.5,65474208,34.43784,2618032.3,1136.45
2/14/2006,ERCOT,499783.592,6.4886198,1.6530137,2870.9417,25532.93,37095.559,734359.38,3808980,50.735073,0,1136.45
2/14/2006,WECC,848782.083,6.3977618,1.5973077,7796.4175,61118.609,85991.5,1804610.5,24289238,48.235966,-954032.06,1136.45
2/15/2006,EAST,5385986.195,7.3808818,2.0730097,23320.391,272912.09,348799.44,7434129,65474208,42.003651,2618032.3,1136.45
2/15/2006,ERCOT,478867.342,6.880784,1.6530137,3339.6936,22876.48,32921.262,690430.56,3808980,61.051163,0,1136.45
2/15/2006,WECC,878146.62,6.7383718,1.5973077,8084.9727,61900.516,88624.5,1832971.3,24289238,44.012344,-954032.06,1136.45
2/16/2006,EAST,5212193.092,7.3164468,2.0730097,27021.186,252530.05,333515.31,7212486,65474208,45.849354,2618032.3,1136.45
2/16/2006,ERCOT,486366.553,6.8555369,1.6530137,4086.7964,22511.1,34280.27,711303.06,3808980,66.894882,0,1136.45
2/16/2006,WECC,889106.694,6.77561,1.5973077,7886.5688,64198.719,89812.539,1877522.3,24289238,38.159561,-954032.06,1136.45
2/17/2006,EAST,5317102.573,7.703651,2.0730097,32569.998,247961.13,343940.19,7366389.5,65474208,43.019497,2618032.3,1136.45
2/17/2006,ERCOT,527188.576,7.1920209,1.6530137,4376.3213,24706.08,37531.98,784875,3808980,57.203033,0,1136.45
2/17/2006,WECC,906268.107,6.866487,1.5973077,7663.0986,65520.531,89575.906,1905063.3,24289238,36.590469,-954032.06,1136.45
2/18/2006,EAST,5568719.418,7.703651,2.0730097,31113.445,269653.91,363446.66,7690079.5,65474208,30.061405,2618032.3,1136.45
2/18/2006,ERCOT,606477.61,7.1920209,1.6530137,4587.6904,30015.051,43209.98,903279.25,3808980,40.527699,0,1136.45
